id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,coral_species,Timepoint,bio_locator,site_zone,depth_m,f_reads_name,r_reads_name,sample_name_bioac,lat_lon
D8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D8_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D8_R1_NoIll.fastq.gz,D8_R2_NoIll.fastq.gz,D8_R1_NoIll,12.07093 N 68.8585 W
D9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D9_November_2020,Siderastrea radians,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,D9_R1_NoIll.fastq.gz,D9_R2_NoIll.fastq.gz,D9_R1_NoIll,12.07093 N 68.8585 W
E1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,60,60_radians,60_radians_SM_bay,60SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E1_November_2020,Siderastrea radians,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E1_R1_NoIll.fastq.gz,E1_R2_NoIll.fastq.gz,E1_R1_NoIll,12.26947 N 69.12917 W
E10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,32,32_porites,32_porites_SM_reef,32PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E10_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,E10_R1_NoIll.fastq.gz,E10_R2_NoIll.fastq.gz,E10_R1_NoIll,12.26654 N 69.12768 W
E11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E11_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,E11_R1_NoIll.fastq.gz,E11_R2_NoIll.fastq.gz,E11_R1_NoIll,12.26654 N 69.12768 W
E12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,57,57_porites,57_porites_SM_reef,57PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E12_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,E12_R1_NoIll.fastq.gz,E12_R2_NoIll.fastq.gz,E12_R1_NoIll,12.26654 N 69.12768 W
E2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,70,70_radians,70_radians_SM_bay,70SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E2_November_2020,Siderastrea radians,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E2_R1_NoIll.fastq.gz,E2_R2_NoIll.fastq.gz,E2_R1_NoIll,12.26947 N 69.12917 W
E3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E3_November_2020,Siderastrea radians,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E3_R1_NoIll.fastq.gz,E3_R2_NoIll.fastq.gz,E3_R1_NoIll,12.26947 N 69.12917 W
E4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E4_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E4_R1_NoIll.fastq.gz,E4_R2_NoIll.fastq.gz,E4_R1_NoIll,12.26947 N 69.12917 W
E5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E5_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E5_R1_NoIll.fastq.gz,E5_R2_NoIll.fastq.gz,E5_R1_NoIll,12.26947 N 69.12917 W
E6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,26,26_porites,26_porites_SM_bay,26PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E6_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E6_R1_NoIll.fastq.gz,E6_R2_NoIll.fastq.gz,E6_R1_NoIll,12.26947 N 69.12917 W
E7,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E7_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E7_R1_NoIll.fastq.gz,E7_R2_NoIll.fastq.gz,E7_R1_NoIll,12.26947 N 69.12917 W
E8,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,51,51_porites,51_porites_SM_bay,51PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_E8_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,E8_R1_NoIll.fastq.gz,E8_R2_NoIll.fastq.gz,E8_R1_NoIll,12.26947 N 69.12917 W
E9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,28,28_porites,28_porites_SM_reef,28PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_E9_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,E9_R1_NoIll.fastq.gz,E9_R2_NoIll.fastq.gz,E9_R1_NoIll,12.26654 N 69.12768 W
F1,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,68,68_porites,68_porites_SM_reef,68PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_F1_November_2020,Branching Porites sp.,Nov-20,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,F1_R1_NoIll.fastq.gz,F1_R2_NoIll.fastq.gz,F1_R1_NoIll,12.26654 N 69.12768 W
F10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F10_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,F10_R1_NoIll.fastq.gz,F10_R2_NoIll.fastq.gz,F10_R1_NoIll,12.26947 N 69.12917 W
F11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F11_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,F11_R1_NoIll.fastq.gz,F11_R2_NoIll.fastq.gz,F11_R1_NoIll,12.26947 N 69.12917 W
F12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F12_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,F12_R1_NoIll.fastq.gz,F12_R2_NoIll.fastq.gz,F12_R1_NoIll,12.26947 N 69.12917 W
F2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,59,59_siderea,59_siderea_SW_bay,59SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F2_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,F2_R1_NoIll.fastq.gz,F2_R2_NoIll.fastq.gz,F2_R1_NoIll,12.07093 N 68.8585 W
F3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F3_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,F3_R1_NoIll.fastq.gz,F3_R2_NoIll.fastq.gz,F3_R1_NoIll,12.07093 N 68.8585 W
F4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F4_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,F4_R1_NoIll.fastq.gz,F4_R2_NoIll.fastq.gz,F4_R1_NoIll,12.07093 N 68.8585 W
F5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F5_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,F5_R1_NoIll.fastq.gz,F5_R2_NoIll.fastq.gz,F5_R1_NoIll,12.07093 N 68.8585 W
F6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,69,69_siderea,69_siderea_SW_reef,69SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F6_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,F6_R1_NoIll.fastq.gz,F6_R2_NoIll.fastq.gz,F6_R1_NoIll,12.06624 N 68.86019 W
F7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F7_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,F7_R1_NoIll.fastq.gz,F7_R2_NoIll.fastq.gz,F7_R1_NoIll,12.06624 N 68.86019 W
F8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F8_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,F8_R1_NoIll.fastq.gz,F8_R2_NoIll.fastq.gz,F8_R1_NoIll,12.06624 N 68.86019 W
F9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F9_November_2021,Siderastrea siderea,Nov-21,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,F9_R1_NoIll.fastq.gz,F9_R2_NoIll.fastq.gz,F9_R1_NoIll,12.06624 N 68.86019 W
G1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G1_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,G1_R1_NoIll.fastq.gz,G1_R2_NoIll.fastq.gz,G1_R1_NoIll,12.26947 N 69.12917 W
G10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G10_November_2021,Siderastrea radians,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,G10_R1_NoIll.fastq.gz,G10_R2_NoIll.fastq.gz,G10_R1_NoIll,12.26947 N 69.12917 W
G11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G11_November_2021,Siderastrea radians,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,G11_R1_NoIll.fastq.gz,G11_R2_NoIll.fastq.gz,G11_R1_NoIll,12.26947 N 69.12917 W
G12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,88,88_radians,88_radians_SM_bay,88SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G12_November_2021,Siderastrea radians,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,G12_R1_NoIll.fastq.gz,G12_R2_NoIll.fastq.gz,G12_R1_NoIll,12.26947 N 69.12917 W
G2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G2_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,G2_R1_NoIll.fastq.gz,G2_R2_NoIll.fastq.gz,G2_R1_NoIll,12.26654 N 69.12768 W
G3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G3_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,G3_R1_NoIll.fastq.gz,G3_R2_NoIll.fastq.gz,G3_R1_NoIll,12.26654 N 69.12768 W
G4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G4_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,G4_R1_NoIll.fastq.gz,G4_R2_NoIll.fastq.gz,G4_R1_NoIll,12.26654 N 69.12768 W
G5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,72,72_siderea,72_siderea_SM_reef,72SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G5_November_2021,Siderastrea siderea,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,G5_R1_NoIll.fastq.gz,G5_R2_NoIll.fastq.gz,G5_R1_NoIll,12.26654 N 69.12768 W
G6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G6_November_2021,Siderastrea radians,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,G6_R1_NoIll.fastq.gz,G6_R2_NoIll.fastq.gz,G6_R1_NoIll,12.07093 N 68.8585 W
G7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G7_November_2021,Siderastrea radians,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,G7_R1_NoIll.fastq.gz,G7_R2_NoIll.fastq.gz,G7_R1_NoIll,12.07093 N 68.8585 W
G8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G8_November_2021,Siderastrea radians,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,G8_R1_NoIll.fastq.gz,G8_R2_NoIll.fastq.gz,G8_R1_NoIll,12.07093 N 68.8585 W
G9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G9_November_2021,Siderastrea radians,Nov-21,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,G9_R1_NoIll.fastq.gz,G9_R2_NoIll.fastq.gz,G9_R1_NoIll,12.07093 N 68.8585 W
H1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,95,95_radians,95_radians_SM_bay,95SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H1_November_2021,Siderastrea radians,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,H1_R1_NoIll.fastq.gz,H1_R2_NoIll.fastq.gz,H1_R1_NoIll,12.26947 N 69.12917 W
H10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H10_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,H10_R1_NoIll.fastq.gz,H10_R2_NoIll.fastq.gz,H10_R1_NoIll,12.26654 N 69.12768 W
H11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,52,52_porites,52_porites_SM_reef,52PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H11_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,H11_R1_NoIll.fastq.gz,H11_R2_NoIll.fastq.gz,H11_R1_NoIll,12.26654 N 69.12768 W
H12,,,,,,,,,,NA,NA,,NA,,NA,,,,,blank,_NA,_NA_,__H12__NA, , NA,Curaçao: ,,NA m,H12_R1_NoIll.fastq.gz,H12_R2_NoIll.fastq.gz,H12_R1_NoIll,not applicable
H2,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,1,SM_reef,7,7_porites,7_porites_SM_reef,7PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H2_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,1 m,H2_R1_NoIll.fastq.gz,H2_R2_NoIll.fastq.gz,H2_R1_NoIll,12.26654 N 69.12768 W
H3,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,11,11_porites,11_porites_SM_bay,11PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H3_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,H3_R1_NoIll.fastq.gz,H3_R2_NoIll.fastq.gz,H3_R1_NoIll,12.26947 N 69.12917 W
H4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H4_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,H4_R1_NoIll.fastq.gz,H4_R2_NoIll.fastq.gz,H4_R1_NoIll,12.26947 N 69.12917 W
H5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H5_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,H5_R1_NoIll.fastq.gz,H5_R2_NoIll.fastq.gz,H5_R1_NoIll,12.26947 N 69.12917 W
H6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H6_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,H6_R1_NoIll.fastq.gz,H6_R2_NoIll.fastq.gz,H6_R1_NoIll,12.26947 N 69.12917 W
H7,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,3,3_porites,3_porites_SM_reef,3PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H7_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,H7_R1_NoIll.fastq.gz,H7_R2_NoIll.fastq.gz,H7_R1_NoIll,12.26654 N 69.12768 W
H8,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,4,4_porites,4_porites_SM_reef,4PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H8_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,H8_R1_NoIll.fastq.gz,H8_R2_NoIll.fastq.gz,H8_R1_NoIll,12.26654 N 69.12768 W
H9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,28,28_porites,28_porites_SM_reef,28PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H9_November_2021,Branching Porites sp.,Nov-21,Curaçao: Santa Martha Reef,Santa Martha Reef,5 m,H9_R1_NoIll.fastq.gz,H9_R2_NoIll.fastq.gz,H9_R1_NoIll,12.26654 N 69.12768 W
I10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,71,71_siderea,71_siderea_SW_bay,71SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_I10_March_2020,Siderastrea siderea,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,I10_R1_NoIll.fastq.gz,I10_R2_NoIll.fastq.gz,I10_R1_NoIll,12.07093 N 68.8585 W
I11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,88,88_siderea,88_siderea_SW_bay,88SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_I11_March_2020,Siderastrea siderea,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,I11_R1_NoIll.fastq.gz,I11_R2_NoIll.fastq.gz,I11_R1_NoIll,12.07093 N 68.8585 W
I12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202003,2020,March,5,SW_reef,1,1_siderea,1_siderea_SW_reef,1SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_I12_March_2020,Siderastrea siderea,Mar-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,I12_R1_NoIll.fastq.gz,I12_R2_NoIll.fastq.gz,I12_R1_NoIll,12.06624 N 68.86019 W
J1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202003,2020,March,5,SW_reef,2,2_siderea,2_siderea_SW_reef,21SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J1_March_2020,Siderastrea siderea,Mar-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,J1_R1_NoIll.fastq.gz,J1_R2_NoIll.fastq.gz,J1_R1_NoIll,12.06624 N 68.86019 W
J10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,SWB,SW,reef,12.07093,68.8585,202003,2020,March,5,SW_reef,2,2_astreoides,2_astreoides_SW_reef,2PASWBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J10_March_2020,Porites astreoides,Mar-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,J10_R1_NoIll.fastq.gz,J10_R2_NoIll.fastq.gz,J10_R1_NoIll,12.07093 N 68.8585 W
J11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,SWB,SW,reef,12.07093,68.8585,202003,2020,March,5,SW_reef,3,3_astreoides,3_astreoides_SW_reef,3PASWBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J11_March_2020,Porites astreoides,Mar-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,J11_R1_NoIll.fastq.gz,J11_R2_NoIll.fastq.gz,J11_R1_NoIll,12.07093 N 68.8585 W
J12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,DB,SW,bay,12.06624,68.86019,202003,2020,March,1,SW_bay,2,2_astreoides,2_astreoides_SW_bay,2PADBMarch2020,March_2020,March_2020_SW_bay,SW_bay_J12_March_2020,Porites astreoides,Mar-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,J12_R1_NoIll.fastq.gz,J12_R2_NoIll.fastq.gz,J12_R1_NoIll,12.06624 N 68.86019 W
